Date : 2024-01-11 15:19:09
Directory : /home/tb/repos/magisim
Total : 179 files,  769350 codes, 6393 comments, 8865 blanks, all 784608 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| XML          |         34 |    715,899 |         36 |         67 |    716,002 |
| JavaScript   |          4 |     45,586 |      5,059 |      7,199 |     57,844 |
| Python       |         95 |      4,285 |      1,259 |      1,137 |      6,681 |
| JSON         |         14 |      1,629 |          0 |          4 |      1,633 |
| CSS          |          3 |      1,154 |         24 |        193 |      1,371 |
| YAML         |          7 |        341 |          1 |         19 |        361 |
| Markdown     |         15 |        274 |          0 |        163 |        437 |
| LaTeX        |          2 |        129 |          8 |         66 |        203 |
| HTML         |          2 |         22 |          0 |          6 |         28 |
| CSV          |          1 |         16 |          0 |          3 |         19 |
| Shell Script |          2 |         15 |          6 |          8 |         29 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        179 |    769,350 |      6,393 |      8,865 |    784,608 |
| . (Files)                                                                                                                         |          5 |        341 |          3 |         42 |        386 |
| docbak                                                                                                                            |          9 |    193,539 |          8 |         44 |    193,591 |
| docbak (Files)                                                                                                                    |          1 |         33 |          0 |         28 |         61 |
| docbak/resources                                                                                                                  |          8 |    193,506 |          8 |         16 |    193,530 |
| docs                                                                                                                              |         14 |    261,150 |         12 |         58 |    261,220 |
| docs (Files)                                                                                                                      |          2 |         50 |          0 |         34 |         84 |
| docs/resources                                                                                                                    |         12 |    261,100 |         12 |         24 |    261,136 |
| magisim-esdk                                                                                                                      |          6 |        192 |          1 |         32 |        225 |
| magisim-esdk (Files)                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| magisim-esdk/docs                                                                                                                 |          3 |         72 |          0 |         26 |         98 |
| magisim-esdk/resources                                                                                                            |          1 |        111 |          1 |          2 |        114 |
| magisim-esdk/src                                                                                                                  |          1 |          7 |          0 |          3 |         10 |
| notebooks                                                                                                                         |         20 |        641 |         38 |        144 |        823 |
| notebooks/obsidian                                                                                                                |         14 |        381 |          0 |         48 |        429 |
| notebooks/obsidian/MAGISIM-NOTES                                                                                                  |         14 |        381 |          0 |         48 |        429 |
| notebooks/obsidian/MAGISIM-NOTES (Files)                                                                                          |          1 |          2 |          0 |          5 |          7 |
| notebooks/obsidian/MAGISIM-NOTES/.obsidian                                                                                        |          6 |        290 |          0 |          0 |        290 |
| notebooks/obsidian/MAGISIM-NOTES/Extension SDK                                                                                    |          1 |         32 |          0 |         13 |         45 |
| notebooks/obsidian/MAGISIM-NOTES/GitHub Inspiration                                                                               |          1 |          1 |          0 |          0 |          1 |
| notebooks/obsidian/MAGISIM-NOTES/Marketing and Pitching                                                                           |          2 |         19 |          0 |          6 |         25 |
| notebooks/obsidian/MAGISIM-NOTES/Research And Development                                                                         |          2 |          8 |          0 |         10 |         18 |
| notebooks/obsidian/MAGISIM-NOTES/worknotes                                                                                        |          1 |         29 |          0 |         14 |         43 |
| notebooks/pages                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| notebooks/resources                                                                                                               |          2 |         49 |         27 |         28 |        104 |
| notebooks/tex                                                                                                                     |          3 |        211 |         11 |         67 |        289 |
| resources                                                                                                                         |         14 |    261,127 |         12 |         28 |    261,167 |
| src                                                                                                                               |        111 |     52,360 |      6,319 |      8,517 |     67,196 |
| src/resources                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src/tests                                                                                                                         |         60 |     27,388 |      3,186 |      4,452 |     35,026 |
| src/tests (Files)                                                                                                                 |         18 |      2,316 |        254 |        306 |      2,876 |
| src/tests/cuda-processing                                                                                                         |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/cuda-processing/simulation                                                                                              |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/cuda-processing/simulation/old                                                                                          |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/extension_880843c55c42                                                                                                  |          5 |        260 |         35 |         37 |        332 |
| src/tests/gradio-extension-loading                                                                                                |         13 |        288 |         92 |        104 |        484 |
| src/tests/gradio-extension-loading (Files)                                                                                        |          8 |        220 |         81 |         81 |        382 |
| src/tests/gradio-extension-loading/example_extensions                                                                             |          1 |         24 |          3 |          9 |         36 |
| src/tests/gradio-extension-loading/extensionmagic                                                                                 |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/extensions                                                                                     |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/extensions/extensionmagic                                                                      |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/loaded-exts                                                                                    |          2 |         24 |          8 |          8 |         40 |
| src/tests/guitest                                                                                                                 |          3 |     23,373 |      2,533 |      3,697 |     29,603 |
| src/tests/guitest/nodes                                                                                                           |          3 |     23,373 |      2,533 |      3,697 |     29,603 |
| src/tests/nodemgr2                                                                                                                |          2 |         33 |         42 |         12 |         87 |
| src/tests/qt                                                                                                                      |          1 |         22 |          1 |          7 |         30 |
| src/tests/qt/magisim-core-qt-gui-test-1                                                                                           |          1 |         22 |          1 |          7 |         30 |
| src/tests/sockets_test                                                                                                            |          7 |        205 |         10 |         41 |        256 |
| src/tests/sockets_test (Files)                                                                                                    |          5 |        169 |          9 |         38 |        216 |
| src/tests/sockets_test/for_tibi                                                                                                   |          2 |         36 |          1 |          3 |         40 |
| src/ui                                                                                                                            |         50 |     24,972 |      3,133 |      4,064 |     32,169 |
| src/ui (Files)                                                                                                                    |          4 |        157 |        170 |         61 |        388 |
| src/ui/extensionmgr                                                                                                               |          2 |        122 |         68 |         19 |        209 |
| src/ui/extensions                                                                                                                 |         13 |        532 |        175 |        131 |        838 |
| src/ui/extensions/extension_50812d1e265b                                                                                          |          3 |         63 |         32 |         16 |        111 |
| src/ui/extensions/extension_61c6599e8f96                                                                                          |          2 |         37 |          7 |         15 |         59 |
| src/ui/extensions/extension_caed19de0a8b                                                                                          |          5 |        388 |        126 |         81 |        595 |
| src/ui/extensions/extension_d22ce158cb48                                                                                          |          3 |         44 |         10 |         19 |         73 |
| src/ui/greeter                                                                                                                    |          3 |         90 |         23 |         18 |        131 |
| src/ui/greeter (Files)                                                                                                            |          2 |         69 |         19 |         14 |        102 |
| src/ui/greeter/external                                                                                                           |          1 |         21 |          4 |          4 |         29 |
| src/ui/nodemgr                                                                                                                    |          6 |     23,607 |      2,601 |      3,725 |     29,933 |
| src/ui/nodemgr (Files)                                                                                                            |          3 |         66 |         60 |         30 |        156 |
| src/ui/nodemgr/static                                                                                                             |          3 |     23,541 |      2,541 |      3,695 |     29,777 |
| src/ui/nodemgr/static/css                                                                                                         |          1 |        573 |         12 |         96 |        681 |
| src/ui/nodemgr/static/js                                                                                                          |          2 |     22,968 |      2,529 |      3,599 |     29,096 |
| src/ui/settingsmgr                                                                                                                |          2 |         36 |          5 |          8 |         49 |
| src/ui/shapeloader                                                                                                                |          6 |        151 |         36 |         46 |        233 |
| src/ui/shared                                                                                                                     |         14 |        277 |         55 |         56 |        388 |
| src/ui/shared (Files)                                                                                                             |         11 |        275 |         55 |         54 |        384 |
| src/ui/shared/settings                                                                                                            |          3 |          2 |          0 |          2 |          4 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                          | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/tb/repos/magisim/CITATION.cff                                                                                               | YAML         |         54 |          0 |          4 |         58 |
| /home/tb/repos/magisim/README.md                                                                                                  | Markdown     |         38 |          0 |         30 |         68 |
| /home/tb/repos/magisim/activate-env.sh                                                                                            | Shell Script |         12 |          3 |          6 |         21 |
| /home/tb/repos/magisim/devel-env.yml                                                                                              | YAML         |        221 |          0 |          1 |        222 |
| /home/tb/repos/magisim/docbak/README.md                                                                                           | Markdown     |         33 |          0 |         28 |         61 |
| /home/tb/repos/magisim/docbak/resources/banner1.svg                                                                               | XML          |    104,585 |          1 |          2 |    104,588 |
| /home/tb/repos/magisim/docbak/resources/epsilon.svg                                                                               | XML          |     64,210 |          1 |          2 |     64,213 |
| /home/tb/repos/magisim/docbak/resources/logo-docs-dark.svg                                                                        | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/docbak/resources/logo-docs-light.svg                                                                       | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/docbak/resources/logo-normal-dark-devteam.svg                                                              | XML          |         70 |          1 |          2 |         73 |
